frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(491, 119, 527, 156)",0,0.9992507696151733,,0.1991283,4.52371,m,40.23709774017334,0.5146135,2.789304,m,22.8930401802063
0,"(204, 201, 265, 262)",1,0.9946181774139404,,-2.5835052,3.1804361,f,26.80436134338379,-2.995777,3.1802404,f,26.802403926849365
0,"(583, 101, 630, 148)",2,0.9911192059516907,,-3.0042048,5.5961127,f,50.961127281188965,-3.311469,4.8692,f,43.692002296447754
1,"(491, 119, 527, 155)",0,,21.582105386211417,-0.55967367,3.6744237,f,31.744236946105957,0.5146135,2.789304,m,22.8930401802063
1,"(204, 202, 263, 262)",1,,14.513830806019614,-2.5361805,3.1651669,f,26.651668548583984,-2.995777,3.1802404,f,26.802403926849365
1,"(583, 101, 630, 148)",2,,21.540656383617947,-3.6187336,4.1422877,f,36.42287731170654,-3.311469,4.8692,f,43.692002296447754
2,"(490, 119, 527, 156)",0,0.9995670318603516,20.62462813564924,-0.399552,3.7502522,f,32.502522468566895,0.5146135,2.789304,m,22.8930401802063
2,"(204, 202, 262, 261)",1,0.99759441614151,17.141306779238864,-4.1465816,3.0848174,f,25.84817409515381,-2.995777,3.1802404,f,26.802403926849365
3,"(490, 119, 527, 156)",0,,25.215761451918112,-0.7619695,4.2220106,f,37.22010612487793,0.5146135,2.789304,m,22.8930401802063
3,"(205, 201, 266, 262)",1,,16.910155370676193,-2.71684,3.2905412,f,27.90541172027588,-2.995777,3.1802404,f,26.802403926849365
4,"(491, 119, 526, 154)",0,0.9997276663780212,14.535910250158992,0.19835195,3.672471,m,31.72471046447754,0.5146135,2.789304,m,22.8930401802063
4,"(583, 102, 629, 148)",3,0.9960214495658875,,-4.600149,3.3081412,f,28.081412315368652,-5.044592,3.2901182,f,27.901182174682617
5,"(490, 119, 526, 154)",0,,23.978651821202668,-0.1314153,2.784132,f,22.841320037841797,0.5146135,2.789304,m,22.8930401802063
5,"(582, 102, 627, 147)",3,,19.22598842029819,-4.3454733,3.5530968,f,30.530967712402344,-5.044592,3.2901182,f,27.901182174682617
6,"(489, 117, 525, 153)",0,0.9998326301574707,15.871737996370804,-0.629187,3.6526155,f,31.526155471801758,0.5146135,2.789304,m,22.8930401802063
6,"(581, 101, 629, 149)",3,0.9979435205459595,18.070181934395066,-5.365122,3.2549555,f,27.54955530166626,-5.044592,3.2901182,f,27.901182174682617
7,"(488, 116, 525, 153)",0,,23.891349232947327,-0.2629969,3.7726216,f,32.726216316223145,0.5146135,2.789304,m,22.8930401802063
7,"(581, 102, 627, 148)",3,,18.830677371585093,-4.1254215,3.017899,f,25.178990364074707,-5.044592,3.2901182,f,27.901182174682617
8,"(490, 118, 524, 152)",0,0.9988267421722412,13.300980492228888,1.1880003,3.734177,m,32.34177112579346,0.5146135,2.789304,m,22.8930401802063
8,"(581, 101, 627, 148)",3,0.9997215867042542,13.244875439313233,-5.727476,3.2983236,f,27.98323631286621,-5.044592,3.2901182,f,27.901182174682617
9,"(489, 117, 524, 152)",0,,24.00027790353382,-1.1311767,3.7929468,f,32.92946815490723,0.5146135,2.789304,m,22.8930401802063
9,"(581, 101, 627, 148)",3,,24.790764108657942,-5.4505167,3.172544,f,26.72544002532959,-5.044592,3.2901182,f,27.901182174682617
10,"(489, 115, 524, 150)",0,0.9991118907928467,14.251978550106381,0.41068923,3.467911,m,29.679110050201416,0.5146135,2.789304,m,22.8930401802063
10,"(581, 101, 628, 148)",3,0.9997170567512512,22.475373156382208,-5.910899,3.186449,f,26.864490509033203,-5.044592,3.2901182,f,27.901182174682617
