same_face_id,sex_decfunc_avg,age_label_avg
0,-0.07710495589209487,26.28199925017451
1,0.03453559441176471,24.62569029892192
2,-0.7945396810714285,28.254024585088093
3,-2.5403865999999997,32.80825734138489
6,-0.9213134722222223,22.413817048072815
37,1.2148227999999999,27.156835794448853
41,2.05966132,28.732765674591064
48,1.5219525430769232,26.959977516761192
68,-1.9579633,32.093799114227295
75,0.31097376500000007,28.153598308563232
92,-0.29660129484615383,27.799566158881554
98,0.280194414974359,24.62899963061015
100,-1.9019346416666665,24.553067088127136
104,3.591699766666667,25.68844238917033
115,-1.3164333268442623,32.08918227524054
122,0.036232644999999994,25.18078991999993
123,1.073506865,25.142446756362915
130,0.07858464,21.440746784210205
153,-0.06716047949460434,28.78202547100808
160,-0.32062386499999995,33.601685762405396
171,0.6240232,25.83390712738037
184,0.9617721,29.110580285390217
189,-1.2874552,26.797404289245605
222,-2.32264772,26.854382242475236
224,-0.27972313352112677,26.582083498927908
230,0.10747098545454548,24.908311583779074
274,-1.8167101,50.30271053314209
284,-0.925080642,24.908740043640137
288,-0.78944723326,34.89926414489746
318,1.534728950625,27.167423367500305
334,-0.06586576,25.734692414601643
344,1.8773778666666667,12.16787608464559
357,1.8514254,19.946327209472656
361,0.79928021,27.566956877708435
371,2.531660207361702,30.766765969864867
395,2.218335666666667,17.899640401204426
501,3.032064918918919,28.32202312108633
532,0.9351208499999999,25.268508195877075
554,0.79460347,27.651095390319824
560,0.32177627,27.78143882751465
563,1.8095253666666666,29.356242815653484
569,0.9882786,28.65231990814209
574,6.08717994,35.48162508010864
787,2.157711976190476,26.957761560167587
818,-1.5204199527272728,27.56354743784124
838,2.8029217111111113,30.709229045444065
882,0.9687256848888889,26.527837647332085
942,3.7716961333333336,29.36205546061198
943,0.16756004,31.16426467895508
952,-1.216515214,23.148508071899414
967,-0.19317490000000004,28.58615239461263
977,2.257016699333333,31.246396601200104
1094,3.635794,34.23654794692993
1111,0.5054797,20.04137277603149
1113,-0.26279682,25.65571546554565
