frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(551, 193, 595, 237)",0,0.9999758005142212,,-0.23348421,4.4567633,f,39.5676326751709,2.4473152,4.6378226,m,41.3782262802124
0,"(543, 338, 609, 404)",1,0.9906471967697144,,1.505198,3.6675365,m,31.67536497116089,6.2385445,3.0944304,m,25.94430446624756
0,"(665, 193, 702, 230)",2,0.9890919923782349,,2.1944096,4.1463375,m,36.463375091552734,2.2172856,3.644977,m,31.4497709274292
1,"(551, 194, 594, 237)",0,,18.516878102478387,4.77911,4.3284373,m,38.28437328338623,2.4473152,4.6378226,m,41.3782262802124
1,"(551, 342, 616, 407)",1,,12.40586935894674,3.8713007,3.06557,m,25.655701160430908,6.2385445,3.0944304,m,25.94430446624756
1,"(666, 193, 703, 230)",2,,20.2336960081067,2.2401614,3.1436167,m,26.436166763305664,2.2172856,3.644977,m,31.4497709274292
2,"(551, 193, 595, 237)",0,0.9999685287475586,14.650171630494125,4.4112263,4.546857,m,40.46856880187988,2.4473152,4.6378226,m,41.3782262802124
2,"(551, 344, 614, 407)",1,0.9977518320083618,9.624340486524702,3.793074,2.8580623,m,23.580622673034668,6.2385445,3.0944304,m,25.94430446624756
3,"(551, 193, 594, 236)",0,,17.471442913079525,4.413764,4.9470644,m,44.47064399719238,2.4473152,4.6378226,m,41.3782262802124
3,"(554, 347, 616, 409)",1,,18.723145970845913,4.3849754,2.5909724,m,20.909724235534668,6.2385445,3.0944304,m,25.94430446624756
4,"(551, 193, 594, 237)",0,0.999977171421051,21.08718815746648,1.243576,4.5146317,m,40.14631748199463,2.4473152,4.6378226,m,41.3782262802124
4,"(550, 343, 621, 414)",1,0.9992289543151855,13.884349943851689,3.6653996,2.7882695,m,22.882695198059082,6.2385445,3.0944304,m,25.94430446624756
5,"(551, 193, 594, 237)",0,,22.961796565342766,-0.52347755,4.365443,f,38.65443229675293,2.4473152,4.6378226,m,41.3782262802124
