frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(442, 324, 530, 413)",0,0.9938037395477295,,-3.6485465,3.608808,f,31.088080406188965,-3.1277142,3.6599007,f,31.59900665283203
3,"(429, 336, 513, 420)",0,,13.960442907371222,-2.6068816,3.7109935,f,32.10993528366089,-3.1277142,3.6599007,f,31.59900665283203
18,"(463, 119, 501, 157)",1,0.9992591738700867,,1.7700226,3.3800435,m,28.800435066223145,0.7363843,3.6545625,m,31.54562473297119
18,"(393, 360, 482, 450)",2,0.9866604804992676,,-6.118084,3.8089998,f,33.0899977684021,-6.249967,3.830038,f,33.30038070678711
21,"(458, 119, 496, 157)",1,,9.293658229136712,-0.020847298,3.3555765,f,28.55576515197754,0.7363843,3.6545625,m,31.54562473297119
21,"(397, 359, 486, 449)",2,,21.832555898211588,-6.3818502,3.8510766,f,33.51076602935791,-6.249967,3.830038,f,33.30038070678711
24,"(453, 119, 495, 161)",1,0.9975079894065857,8.645027551192076,-0.13353285,3.6776972,f,31.7769718170166,0.7363843,3.6545625,m,31.54562473297119
27,"(447, 121, 490, 163)",1,,8.120805708577361,1.3298947,4.204933,m,37.04933166503906,0.7363843,3.6545625,m,31.54562473297119
60,"(1110, 300, 1157, 347)",3,0.9993841052055359,,1.6966925,4.7520456,m,42.520456314086914,2.3756113,4.66594,m,41.65939807891846
63,"(1097, 304, 1144, 351)",3,,13.258804953884052,3.0545304,4.579834,m,40.79833984375,2.3756113,4.66594,m,41.65939807891846
72,"(359, 174, 412, 227)",4,0.9957275986671448,,1.4017656,3.5190527,m,30.19052743911743,1.5249867,3.3252754,m,28.25275421142578
75,"(365, 172, 419, 226)",4,,10.668662089674699,1.6482079,3.1314979,m,26.31497859954834,1.5249867,3.3252754,m,28.25275421142578
78,"(1038, 279, 1098, 339)",5,0.9884838461875916,,1.1472052,3.3118255,m,28.118255138397217,0.90700847,3.0919547,m,25.919547080993652
81,"(1033, 284, 1093, 344)",5,,9.393824109546692,0.6668117,2.8720837,m,23.720836639404297,0.90700847,3.0919547,m,25.919547080993652
90,"(815, 228, 894, 307)",6,0.9827595353126526,,2.8028243,3.4205844,m,29.205844402313232,2.4556015,3.4419553,m,29.41955327987671
93,"(814, 230, 892, 308)",6,,14.085819339139935,2.1083786,3.4633262,m,29.633262157440186,2.4556015,3.4419553,m,29.41955327987671
120,"(695, 221, 783, 309)",7,0.9942340850830078,,3.073696,3.3293817,m,28.293817043304443,3.2881374,3.269611,m,27.6961088180542
123,"(687, 225, 773, 311)",7,,18.773038119668655,3.5025792,3.2098403,m,27.098402976989746,3.2881374,3.269611,m,27.6961088180542
126,"(679, 231, 765, 316)",8,0.9996304512023926,,3.232696,3.1420798,m,26.420798301696777,2.8166842,3.1237788,m,26.237788200378418
129,"(667, 237, 753, 322)",8,,16.664802049257876,2.4006724,3.1054778,m,26.05477809906006,2.8166842,3.1237788,m,26.237788200378418
132,"(945, 269, 1026, 350)",9,0.9931895136833191,,1.452551,3.0719907,m,25.71990728378296,0.63115305,3.0795164,m,25.795164108276367
132,"(649, 235, 745, 330)",10,0.9919772744178772,,0.90065694,3.381739,m,28.817389011383057,-0.1170392,3.5655437,f,30.655436515808105
135,"(932, 256, 1014, 337)",9,,10.11674190340419,-0.19024488,3.0870419,f,25.870418548583984,0.63115305,3.0795164,m,25.795164108276367
135,"(634, 226, 731, 323)",10,,16.81824089246248,-1.1347353,3.7493486,f,32.493486404418945,-0.1170392,3.5655437,f,30.655436515808105
138,"(937, 258, 1001, 322)",11,0.9994640946388245,,-1.7608979,3.1869738,f,26.86973810195923,-2.7580504,3.2888768,f,27.8887677192688
141,"(930, 254, 995, 319)",11,,18.660762285687458,-3.7552028,3.3907797,f,28.90779733657837,-2.7580504,3.2888768,f,27.8887677192688
150,"(921, 268, 988, 335)",12,0.9893374443054199,,-0.39937276,3.4530778,f,29.53077793121338,-0.22314906,3.3228483,f,28.228483200073242
